"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061097","GO:0061097","regulation of protein tyrosine kinase activity","4/72","96/18903",0.000493387258621586,0.00238945490050851,0.0011052699561369,"EGF/APP/EFNA1/EGFR",4
"GO:0072080","GO:0072080","nephron tubule development","4/72","96/18903",0.000493387258621586,0.00238945490050851,0.0011052699561369,"WNT11/JAG1/NOTCH1/NOTCH2",4
"GO:0030336","GO:0030336","negative regulation of cell migration","7/72","368/18903",0.000497550211035677,0.00240527426343914,0.00111258738513241,"WNT11/THBS1/CDH1/JAG1/CD74/KLRK1/NOTCH1",7
"GO:0030513","GO:0030513","positive regulation of BMP signaling pathway","3/72","41/18903",0.000509088156763942,0.00244781993655494,0.00113226737752252,"CDH5/NOTCH1/NOTCH2",3
"GO:0032733","GO:0032733","positive regulation of interleukin-10 production","3/72","41/18903",0.000509088156763942,0.00244781993655494,0.00113226737752252,"TNFSF4/CD40LG/LGALS9",3
"GO:0070232","GO:0070232","regulation of T cell apoptotic process","3/72","41/18903",0.000509088156763942,0.00244781993655494,0.00113226737752252,"LGALS9/EFNA1/CD27",3
"GO:0008593","GO:0008593","regulation of Notch signaling pathway","4/72","97/18903",0.000513137941008453,0.00246287852544844,0.00113923290170223,"TGFB2/JAG1/KIT/NOTCH1",4
"GO:0048661","GO:0048661","positive regulation of smooth muscle cell proliferation","4/72","98/18903",0.0005334452692473,0.00255577438819733,0.00118220295571911,"IGF1/IL10/THBS1/NOTCH3",4
"GO:0051346","GO:0051346","negative regulation of hydrolase activity","7/72","373/18903",0.000539103361422163,0.00257827864295127,0.00119261255862038,"TGFB2/COL6A3/THBS1/APP/CD27/CD44/KLRK1",7
"GO:0002714","GO:0002714","positive regulation of B cell mediated immunity","3/72","42/18903",0.000546755811044306,0.0025917771042966,0.00119885642778731,"TNFSF4/HLA-E/CD40",3
"GO:0002891","GO:0002891","positive regulation of immunoglobulin mediated immune response","3/72","42/18903",0.000546755811044306,0.0025917771042966,0.00119885642778731,"TNFSF4/HLA-E/CD40",3
"GO:0045429","GO:0045429","positive regulation of nitric oxide biosynthetic process","3/72","42/18903",0.000546755811044306,0.0025917771042966,0.00119885642778731,"IL1B/CD36/KLRK1",3
"GO:0050999","GO:0050999","regulation of nitric-oxide synthase activity","3/72","42/18903",0.000546755811044306,0.0025917771042966,0.00119885642778731,"IL1A/IL1B/EGFR",3
"GO:2000403","GO:2000403","positive regulation of lymphocyte migration","3/72","42/18903",0.000546755811044306,0.0025917771042966,0.00119885642778731,"CCL7/APP/CCR2",3
"GO:0061326","GO:0061326","renal tubule development","4/72","99/18903",0.000554318130106089,0.00262299037579301,0.001213294486949,"WNT11/JAG1/NOTCH1/NOTCH2",4
"GO:0043087","GO:0043087","regulation of GTPase activity","7/72","376/18903",0.00056533499066593,0.00267041158443079,0.00123522971459439,"WNT11/CCL7/EFNA5/CD40/EPHA2/EPHA3/KLRK1",7
"GO:0050767","GO:0050767","regulation of neurogenesis","7/72","377/18903",0.000574301545533999,0.00270799832454784,0.00125261589526332,"IL1B/SPP1/FN1/CDH1/EFNA5/KIT/NOTCH1",7
"GO:0097306","GO:0097306","cellular response to alcohol","4/72","100/18903",0.000575765427547223,0.00271013796861263,0.00125360561233273,"CCL7/TNFSF4/CDH1/EFNA5",4
"GO:0071560","GO:0071560","cellular response to transforming growth factor beta stimulus","6/72","271/18903",0.000581360695271928,0.00273168256640032,0.00126357131482276,"TGFB2/COL1A1/COL1A2/COL4A2/THBS1/CDH5",6
"GO:0045622","GO:0045622","regulation of T-helper cell differentiation","3/72","43/18903",0.000586162156794715,0.00274463013382238,0.00126956036164411,"TNFSF4/HLA-DRA/HLA-DRB1",3
"GO:0060412","GO:0060412","ventricular septum morphogenesis","3/72","43/18903",0.000586162156794715,0.00274463013382238,0.00126956036164411,"TGFB2/WNT11/NOTCH1",3
"GO:0001659","GO:0001659","temperature homeostasis","5/72","178/18903",0.000588107771917709,0.00274894277361535,0.00127155522297997,"IL1A/IL1B/CCR2/CD36/NOTCH1",5
"GO:0015908","GO:0015908","fatty acid transport","4/72","101/18903",0.000597796081657565,0.00277969997762088,0.00128578232285737,"IL1A/IL1B/THBS1/CD36",4
"GO:0150115","GO:0150115","cell-substrate junction organization","4/72","101/18903",0.000597796081657565,0.00277969997762088,0.00128578232285737,"FN1/THBS1/EFNA5/EPHA3",4
"GO:1905477","GO:1905477","positive regulation of protein localization to membrane","4/72","101/18903",0.000597796081657565,0.00277969997762088,0.00128578232285737,"ITGB2/EGFR/EPHA2/EPHA3",4
"GO:1904407","GO:1904407","positive regulation of nitric oxide metabolic process","3/72","44/18903",0.000627339561094465,0.00289996003698883,0.00134141000200476,"IL1B/CD36/KLRK1",3
"GO:2000146","GO:2000146","negative regulation of cell motility","7/72","383/18903",0.000630511011200419,0.00289996003698883,0.00134141000200476,"WNT11/THBS1/CDH1/JAG1/CD74/KLRK1/NOTCH1",7
"GO:0002291","GO:0002291","T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell","2/72","10/18903",0.00063122499500614,0.00289996003698883,0.00134141000200476,"LGALS9/ICAM1",2
"GO:0003183","GO:0003183","mitral valve morphogenesis","2/72","10/18903",0.00063122499500614,0.00289996003698883,0.00134141000200476,"EFNA1/NOTCH1",2
"GO:0015911","GO:0015911","long-chain fatty acid import across plasma membrane","2/72","10/18903",0.00063122499500614,0.00289996003698883,0.00134141000200476,"THBS1/CD36",2
"GO:0035747","GO:0035747","natural killer cell chemotaxis","2/72","10/18903",0.00063122499500614,0.00289996003698883,0.00134141000200476,"CCL7/KLRK1",2
"GO:0090037","GO:0090037","positive regulation of protein kinase C signaling","2/72","10/18903",0.00063122499500614,0.00289996003698883,0.00134141000200476,"WNT11/CD40",2
"GO:0098727","GO:0098727","maintenance of cell number","5/72","181/18903",0.000634361017476728,0.00290938565793173,0.00134576993181298,"IGF1/JAG1/FZD7/KIT/NOTCH1",5
"GO:0032677","GO:0032677","regulation of interleukin-8 production","4/72","103/18903",0.000643643214520621,0.00294189905376291,0.00136080937849872,"IL10/IL1B/LGALS9/CD74",4
"GO:0048144","GO:0048144","fibroblast proliferation","4/72","103/18903",0.000643643214520621,0.00294189905376291,0.00136080937849872,"IGF1/FN1/EGFR/CD74",4
"GO:0071559","GO:0071559","response to transforming growth factor beta","6/72","277/18903",0.000652036032173348,0.00297519162299506,0.00137620924083848,"TGFB2/COL1A1/COL1A2/COL4A2/THBS1/CDH5",6
"GO:0032637","GO:0032637","interleukin-8 production","4/72","104/18903",0.000667477604608944,0.00303532612400983,0.00140402514867787,"IL10/IL1B/LGALS9/CD74",4
"GO:0046425","GO:0046425","regulation of receptor signaling pathway via JAK-STAT","4/72","104/18903",0.000667477604608944,0.00303532612400983,0.00140402514867787,"EGF/IL10/KIT/NOTCH1",4
"GO:0046427","GO:0046427","positive regulation of receptor signaling pathway via JAK-STAT","3/72","45/18903",0.000670319962997889,0.00304309384217147,0.00140761819641021,"IL10/KIT/NOTCH1",3
"GO:0051962","GO:0051962","positive regulation of nervous system development","6/72","279/18903",0.000677019414615961,0.00306831602941659,0.00141928501037023,"IL1B/FN1/THBS2/EFNA5/KIT/NOTCH1",6
"GO:0001654","GO:0001654","eye development","7/72","388/18903",0.000680623664875708,0.00307944906047474,0.00142443472244335,"TGFB2/JAG1/FZD4/EGFR/EPHA2/NOTCH1/NOTCH2",7
"GO:0007416","GO:0007416","synapse assembly","5/72","184/18903",0.000683292271840213,0.00308631846018063,0.00142761224260076,"THBS2/APP/CDH1/EFNA5/EFNB2",5
"GO:0046006","GO:0046006","regulation of activated T cell proliferation","3/72","46/18903",0.000715134876798403,0.00321391436256301,0.00148663320064413,"IGF1/LGALS9/ICOSLG",3
"GO:2000273","GO:2000273","positive regulation of signaling receptor activity","3/72","46/18903",0.000715134876798403,0.00321391436256301,0.00148663320064413,"EGF/IL10/CCR2",3
"GO:2001239","GO:2001239","regulation of extrinsic apoptotic signaling pathway in absence of ligand","3/72","46/18903",0.000715134876798403,0.00321391436256301,0.00148663320064413,"IL7/IL1A/IL1B",3
"GO:0150063","GO:0150063","visual system development","7/72","392/18903",0.000722951282362896,0.00324360918157132,0.00150036888207332,"TGFB2/JAG1/FZD4/EGFR/EPHA2/NOTCH1/NOTCH2",7
"GO:0002861","GO:0002861","regulation of inflammatory response to antigenic stimulus","3/72","47/18903",0.000761815395272697,0.00339609774530923,0.00157090422807132,"IL10/HLA-E/HLA-DRB1",3
"GO:0061383","GO:0061383","trabecula morphogenesis","3/72","47/18903",0.000761815395272697,0.00339609774530923,0.00157090422807132,"TGFB2/COL1A1/NOTCH1",3
"GO:0097028","GO:0097028","dendritic cell differentiation","3/72","47/18903",0.000761815395272697,0.00339609774530923,0.00157090422807132,"LGALS9/HLA-B/NOTCH2",3
"GO:0061387","GO:0061387","regulation of extent of cell growth","4/72","108/18903",0.000769096837413848,0.00339609774530923,0.00157090422807132,"SPP1/FN1/CDH1/EFNA5",4
"GO:0001660","GO:0001660","fever generation","2/72","11/18903",0.000769596507323151,0.00339609774530923,0.00157090422807132,"IL1A/IL1B",2
"GO:0002604","GO:0002604","regulation of dendritic cell antigen processing and presentation","2/72","11/18903",0.000769596507323151,0.00339609774530923,0.00157090422807132,"THBS1/CD74",2
"GO:0003174","GO:0003174","mitral valve development","2/72","11/18903",0.000769596507323151,0.00339609774530923,0.00157090422807132,"EFNA1/NOTCH1",2
"GO:0048505","GO:0048505","regulation of timing of cell differentiation","2/72","11/18903",0.000769596507323151,0.00339609774530923,0.00157090422807132,"JAG1/NOTCH1",2
"GO:1904238","GO:1904238","pericyte cell differentiation","2/72","11/18903",0.000769596507323151,0.00339609774530923,0.00157090422807132,"EPHA2/NOTCH1",2
"GO:1905651","GO:1905651","regulation of artery morphogenesis","2/72","11/18903",0.000769596507323151,0.00339609774530923,0.00157090422807132,"EFNB2/NOTCH1",2
"GO:0051896","GO:0051896","regulation of protein kinase B signaling","5/72","189/18903",0.000771061642444007,0.00339697600439618,0.00157131047695356,"EGF/IGF1/THBS1/EGFR/EPHA2",5
"GO:0048880","GO:0048880","sensory system development","7/72","398/18903",0.000790336219772794,0.00347618373385312,0.0016079489268544,"TGFB2/JAG1/FZD4/EGFR/EPHA2/NOTCH1/NOTCH2",7
"GO:0003197","GO:0003197","endocardial cushion development","3/72","48/18903",0.000810392192905157,0.00354117630873703,0.0016380119928599,"TGFB2/JAG1/NOTCH1",3
"GO:0006953","GO:0006953","acute-phase response","3/72","48/18903",0.000810392192905157,0.00354117630873703,0.0016380119928599,"IL1A/IL1B/FN1",3
"GO:0035850","GO:0035850","epithelial cell differentiation involved in kidney development","3/72","48/18903",0.000810392192905157,0.00354117630873703,0.0016380119928599,"JAG1/NOTCH1/NOTCH2",3
"GO:0061028","GO:0061028","establishment of endothelial barrier","3/72","48/18903",0.000810392192905157,0.00354117630873703,0.0016380119928599,"IL1B/CDH5/ICAM1",3
"GO:0031099","GO:0031099","regeneration","5/72","192/18903",0.000827615558430671,0.003610556980926,0.00167010482394482,"IGF1/IL10/SPP1/FZD7/NOTCH1",5
"GO:0046578","GO:0046578","regulation of Ras protein signal transduction","5/72","193/18903",0.000847137911089896,0.00368972567443862,0.00170672521731884,"TGFB2/IGF1/KITLG/NOTCH1/NOTCH2",5
"GO:0032611","GO:0032611","interleukin-1 beta production","4/72","111/18903",0.000852159105729198,0.00369360723856452,0.00170852067962711,"IGF1/LGALS9/APP/CD36",4
"GO:0032651","GO:0032651","regulation of interleukin-1 beta production","4/72","111/18903",0.000852159105729198,0.00369360723856452,0.00170852067962711,"IGF1/LGALS9/APP/CD36",4
"GO:0071347","GO:0071347","cellular response to interleukin-1","4/72","111/18903",0.000852159105729198,0.00369360723856452,0.00170852067962711,"CCL7/IL1B/IL1R2/CD40",4
"GO:0033628","GO:0033628","regulation of cell adhesion mediated by integrin","3/72","49/18903",0.000860895529092682,0.00370157484704434,0.00171220618893433,"TGFB2/EFNA1/EPHA2",3
"GO:0043300","GO:0043300","regulation of leukocyte degranulation","3/72","49/18903",0.000860895529092682,0.00370157484704434,0.00171220618893433,"LGALS9/ITGB2/CCR2",3
"GO:0048546","GO:0048546","digestive tract morphogenesis","3/72","49/18903",0.000860895529092682,0.00370157484704434,0.00171220618893433,"WNT11/EGFR/NOTCH1",3
"GO:0050798","GO:0050798","activated T cell proliferation","3/72","49/18903",0.000860895529092682,0.00370157484704434,0.00171220618893433,"IGF1/LGALS9/ICOSLG",3
"GO:1904894","GO:1904894","positive regulation of receptor signaling pathway via STAT","3/72","49/18903",0.000860895529092682,0.00370157484704434,0.00171220618893433,"IL10/KIT/NOTCH1",3
"GO:1905954","GO:1905954","positive regulation of lipid localization","4/72","113/18903",0.000910930147452029,0.00387412246056127,0.00179202008003678,"IL1A/IL1B/SPP1/CD36",4
"GO:0048872","GO:0048872","homeostasis of number of cells","6/72","296/18903",0.000920648020430357,0.00387412246056127,0.00179202008003678,"IL7/KITLG/LGALS9/KIT/CD74/NOTCH1",6
"GO:0002424","GO:0002424","T cell mediated immune response to tumor cell","2/72","12/18903",0.00092124119636157,0.00387412246056127,0.00179202008003678,"HLA-A/HLA-DRB1",2
"GO:0002887","GO:0002887","negative regulation of myeloid leukocyte mediated immunity","2/72","12/18903",0.00092124119636157,0.00387412246056127,0.00179202008003678,"LGALS9/CCR2",2
"GO:0010749","GO:0010749","regulation of nitric oxide mediated signal transduction","2/72","12/18903",0.00092124119636157,0.00387412246056127,0.00179202008003678,"THBS1/EGFR",2
"GO:0033083","GO:0033083","regulation of immature T cell proliferation","2/72","12/18903",0.00092124119636157,0.00387412246056127,0.00179202008003678,"IL1A/IL1B",2
"GO:0033084","GO:0033084","regulation of immature T cell proliferation in thymus","2/72","12/18903",0.00092124119636157,0.00387412246056127,0.00179202008003678,"IL1A/IL1B",2
"GO:0038063","GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","2/72","12/18903",0.00092124119636157,0.00387412246056127,0.00179202008003678,"COL1A1/COL4A2",2
"GO:0040034","GO:0040034","regulation of development, heterochronic","2/72","12/18903",0.00092124119636157,0.00387412246056127,0.00179202008003678,"JAG1/NOTCH1",2
"GO:0043589","GO:0043589","skin morphogenesis","2/72","12/18903",0.00092124119636157,0.00387412246056127,0.00179202008003678,"COL1A1/COL1A2",2
"GO:0071372","GO:0071372","cellular response to follicle-stimulating hormone stimulus","2/72","12/18903",0.00092124119636157,0.00387412246056127,0.00179202008003678,"EFNA5/NOTCH1",2
"GO:0072015","GO:0072015","podocyte development","2/72","12/18903",0.00092124119636157,0.00387412246056127,0.00179202008003678,"JAG1/NOTCH2",2
"GO:0072017","GO:0072017","distal tubule development","2/72","12/18903",0.00092124119636157,0.00387412246056127,0.00179202008003678,"JAG1/NOTCH1",2
"GO:1902337","GO:1902337","regulation of apoptotic process involved in morphogenesis","2/72","12/18903",0.00092124119636157,0.00387412246056127,0.00179202008003678,"TGFB2/NOTCH1",2
"GO:0030225","GO:0030225","macrophage differentiation","3/72","51/18903",0.000967800798375026,0.00405087292049952,0.0018737780462832,"APP/HLA-DRB1/CD4",3
"GO:0032692","GO:0032692","negative regulation of interleukin-1 production","3/72","51/18903",0.000967800798375026,0.00405087292049952,0.0018737780462832,"IGF1/IL10/IL1R2",3
"GO:0034332","GO:0034332","adherens junction organization","3/72","51/18903",0.000967800798375026,0.00405087292049952,0.0018737780462832,"CDH1/CDH5/EFNB2",3
"GO:0035710","GO:0035710","CD4-positive, alpha-beta T cell activation","4/72","115/18903",0.000972502471444287,0.00405789133885695,0.00187702449673867,"TNFSF4/LGALS9/HLA-DRA/HLA-DRB1",4
"GO:1904892","GO:1904892","regulation of receptor signaling pathway via STAT","4/72","115/18903",0.000972502471444287,0.00405789133885695,0.00187702449673867,"EGF/IL10/KIT/NOTCH1",4
"GO:0002832","GO:0002832","negative regulation of response to biotic stimulus","4/72","116/18903",0.00100436171515797,0.00417783330506795,0.00193250503822317,"LGALS9/HLA-A/HLA-B/HLA-E",4
"GO:0072009","GO:0072009","nephron epithelium development","4/72","116/18903",0.00100436171515797,0.00417783330506795,0.00193250503822317,"WNT11/JAG1/NOTCH1/NOTCH2",4
"GO:0046622","GO:0046622","positive regulation of organ growth","3/72","52/18903",0.00102426120339628,0.00425401363577742,0.00196774312987488,"IGF1/IL7/NOTCH1",3
"GO:0046632","GO:0046632","alpha-beta T cell differentiation","4/72","117/18903",0.00103694840273136,0.00430005033157378,0.00198903793511799,"TNFSF4/LGALS9/HLA-DRA/HLA-DRB1",4
"GO:0040013","GO:0040013","negative regulation of locomotion","7/72","419/18903",0.00106631979230114,0.00441502469559252,0.00204222065484574,"WNT11/THBS1/CDH1/JAG1/CD74/KLRK1/NOTCH1",7
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","4/72","118/18903",0.00107027157606585,0.00441775175166874,0.00204348208612411,"EGF/IGF1/IL1A/IL1B",4
"GO:0043200","GO:0043200","response to amino acid","4/72","118/18903",0.00107027157606585,0.00441775175166874,0.00204348208612411,"COL1A1/COL1A2/COL6A1/EGFR",4
"GO:0000302","GO:0000302","response to reactive oxygen species","5/72","204/18903",0.00108527812679806,0.00442169298314933,0.0020453051482563,"IL10/IL1A/COL1A1/EGFR/CD36",5
"GO:0031392","GO:0031392","regulation of prostaglandin biosynthetic process","2/72","13/18903",0.00108605876850369,0.00442169298314933,0.0020453051482563,"IL1B/CD74",2
"GO:0033079","GO:0033079","immature T cell proliferation","2/72","13/18903",0.00108605876850369,0.00442169298314933,0.0020453051482563,"IL1A/IL1B",2
"GO:0033080","GO:0033080","immature T cell proliferation in thymus","2/72","13/18903",0.00108605876850369,0.00442169298314933,0.0020453051482563,"IL1A/IL1B",2
"GO:0070486","GO:0070486","leukocyte aggregation","2/72","13/18903",0.00108605876850369,0.00442169298314933,0.0020453051482563,"IL1B/CD44",2
"GO:0072310","GO:0072310","glomerular epithelial cell development","2/72","13/18903",0.00108605876850369,0.00442169298314933,0.0020453051482563,"JAG1/NOTCH2",2
"GO:0072683","GO:0072683","T cell extravasation","2/72","13/18903",0.00108605876850369,0.00442169298314933,0.0020453051482563,"ICAM1/CCR2",2
"GO:1904748","GO:1904748","regulation of apoptotic process involved in development","2/72","13/18903",0.00108605876850369,0.00442169298314933,0.0020453051482563,"TGFB2/NOTCH1",2
"GO:2001198","GO:2001198","regulation of dendritic cell differentiation","2/72","13/18903",0.00108605876850369,0.00442169298314933,0.0020453051482563,"LGALS9/HLA-B",2
"GO:0048608","GO:0048608","reproductive structure development","6/72","306/18903",0.00109262128127371,0.0044416710570566,0.00205454623703621,"TGFB2/IL1A/KITLG/FZD4/KIT/NOTCH1",6
"GO:1901654","GO:1901654","response to ketone","5/72","205/18903",0.00110915373380698,0.00449630609479993,0.00207981830463508,"TGFB2/TNFSF4/SPP1/THBS1/EFNA5",5
"GO:0010720","GO:0010720","positive regulation of cell development","6/72","307/18903",0.0011110886846263,0.00449630609479993,0.00207981830463508,"IL1B/FN1/CDH5/EFNA5/KIT/NOTCH1",6
"GO:0031349","GO:0031349","positive regulation of defense response","6/72","307/18903",0.0011110886846263,0.00449630609479993,0.00207981830463508,"IL1B/TNFSF4/APP/HLA-E/CCR2/KLRK1",6
"GO:2000241","GO:2000241","regulation of reproductive process","5/72","206/18903",0.0011334172219624,0.00457975663633303,0.00211841931625503,"IGF1/IL1A/JAG1/KIT/NOTCH1",5
"GO:0051897","GO:0051897","positive regulation of protein kinase B signaling","4/72","120/18903",0.00113916354102726,0.00459605380537763,0.00212595775998597,"EGF/IGF1/THBS1/EGFR",4
"GO:0030857","GO:0030857","negative regulation of epithelial cell differentiation","3/72","54/18903",0.00114334071083469,0.00459907515317761,0.00212735531929945,"IL1A/JAG1/NOTCH1",3
"GO:0061900","GO:0061900","glial cell activation","3/72","54/18903",0.00114334071083469,0.00459907515317761,0.00212735531929945,"IL1B/APP/ITGB2",3
"GO:0034284","GO:0034284","response to monosaccharide","5/72","207/18903",0.00115807250619902,0.00465136008103587,0.00215154031643341,"IL1A/THBS1/EFNA5/ICAM1/HLA-DRB1",5
"GO:0061458","GO:0061458","reproductive system development","6/72","310/18903",0.0011679339361596,0.00468395627909746,0.00216661806424698,"TGFB2/IL1A/KITLG/FZD4/KIT/NOTCH1",6
"GO:0031623","GO:0031623","receptor internalization","4/72","121/18903",0.00117475040730621,0.00470426170567545,0.00217601057378479,"EGF/EFNB2/ITGB2/CD36",4
"GO:0052548","GO:0052548","regulation of endopeptidase activity","7/72","428/18903",0.00120563933157682,0.0048150901863147,0.00222727556728133,"LGALS9/COL6A3/THBS1/APP/EFNA1/CD27/CD44",7
"GO:0072132","GO:0072132","mesenchyme morphogenesis","3/72","55/18903",0.00120601587968821,0.0048150901863147,0.00222727556728133,"TGFB2/WNT11/NOTCH1",3
"GO:0050807","GO:0050807","regulation of synapse organization","5/72","209/18903",0.00120857417432264,0.00481813448693556,0.00222868374368716,"IL10/THBS2/APP/EFNA1/EFNA5",5
"GO:0019932","GO:0019932","second-messenger-mediated signaling","6/72","314/18903",0.00124717260789701,0.00496463517357222,0.00229644932798778,"IGF1/THBS1/EGFR/CCR2/CD36/CD4",6
"GO:0003188","GO:0003188","heart valve formation","2/72","14/18903",0.00126394948316882,0.00497970112091329,0.00230341825590238,"EFNA1/NOTCH1",2
"GO:0003222","GO:0003222","ventricular trabecula myocardium morphogenesis","2/72","14/18903",0.00126394948316882,0.00497970112091329,0.00230341825590238,"TGFB2/NOTCH1",2
"GO:0030213","GO:0030213","hyaluronan biosynthetic process","2/72","14/18903",0.00126394948316882,0.00497970112091329,0.00230341825590238,"EGF/IL1B",2
"GO:0032306","GO:0032306","regulation of prostaglandin secretion","2/72","14/18903",0.00126394948316882,0.00497970112091329,0.00230341825590238,"IL1A/IL1B",2
"GO:0032308","GO:0032308","positive regulation of prostaglandin secretion","2/72","14/18903",0.00126394948316882,0.00497970112091329,0.00230341825590238,"IL1A/IL1B",2
"GO:0043301","GO:0043301","negative regulation of leukocyte degranulation","2/72","14/18903",0.00126394948316882,0.00497970112091329,0.00230341825590238,"LGALS9/CCR2",2
"GO:1905208","GO:1905208","negative regulation of cardiocyte differentiation","2/72","14/18903",0.00126394948316882,0.00497970112091329,0.00230341825590238,"FZD7/EGFR",2
"GO:0060986","GO:0060986","endocrine hormone secretion","3/72","56/18903",0.00127081804554988,0.00499665100599848,0.00231125862097503,"IL1B/SPP1/FZD4",3
"GO:0050808","GO:0050808","synapse organization","7/72","432/18903",0.00127197638356204,0.00499665100599848,0.00231125862097503,"IL10/THBS2/APP/CDH1/EFNA1/EFNA5/EFNB2",7
"GO:0006869","GO:0006869","lipid transport","7/72","433/18903",0.00128900031110484,0.00505612256534251,0.00233876787748939,"EGF/IL1A/IL1B/SPP1/THBS1/FZD4/CD36",7
"GO:0032768","GO:0032768","regulation of monooxygenase activity","3/72","57/18903",0.00133777426016584,0.00523214043735417,0.0024201869767309,"IL1A/IL1B/EGFR",3
"GO:0070231","GO:0070231","T cell apoptotic process","3/72","57/18903",0.00133777426016584,0.00523214043735417,0.0024201869767309,"LGALS9/EFNA1/CD27",3
"GO:0003231","GO:0003231","cardiac ventricle development","4/72","126/18903",0.00136445470919751,0.00532872195746277,0.00246486187411915,"TGFB2/WNT11/JAG1/NOTCH1",4
"GO:0050803","GO:0050803","regulation of synapse structure or activity","5/72","215/18903",0.00136989256288762,0.00534218277067948,0.00247108832870946,"IL10/THBS2/APP/EFNA1/EFNA5",5
"GO:0061005","GO:0061005","cell differentiation involved in kidney development","3/72","58/18903",0.00140691118817093,0.00547858159341451,0.00253418117921247,"JAG1/NOTCH1/NOTCH2",3
"GO:0002517","GO:0002517","T cell tolerance induction","2/72","15/18903",0.00145481415015027,0.00558407205272271,0.00258297700930227,"HLA-B/ICOS",2
"GO:0043518","GO:0043518","negative regulation of DNA damage response, signal transduction by p53 class mediator","2/72","15/18903",0.00145481415015027,0.00558407205272271,0.00258297700930227,"CD44/CD74",2
"GO:0060413","GO:0060413","atrial septum morphogenesis","2/72","15/18903",0.00145481415015027,0.00558407205272271,0.00258297700930227,"TGFB2/NOTCH2",2
"GO:0070986","GO:0070986","left/right axis specification","2/72","15/18903",0.00145481415015027,0.00558407205272271,0.00258297700930227,"NOTCH1/NOTCH2",2
"GO:0071639","GO:0071639","positive regulation of monocyte chemotactic protein-1 production","2/72","15/18903",0.00145481415015027,0.00558407205272271,0.00258297700930227,"IL1B/LGALS9",2
"GO:0097396","GO:0097396","response to interleukin-17","2/72","15/18903",0.00145481415015027,0.00558407205272271,0.00258297700930227,"IL1B/NOTCH1",2
"GO:0097398","GO:0097398","cellular response to interleukin-17","2/72","15/18903",0.00145481415015027,0.00558407205272271,0.00258297700930227,"IL1B/NOTCH1",2
"GO:0097531","GO:0097531","mast cell migration","2/72","15/18903",0.00145481415015027,0.00558407205272271,0.00258297700930227,"KITLG/KIT",2
"GO:1902166","GO:1902166","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","2/72","15/18903",0.00145481415015027,0.00558407205272271,0.00258297700930227,"CD44/CD74",2
"GO:2001279","GO:2001279","regulation of unsaturated fatty acid biosynthetic process","2/72","15/18903",0.00145481415015027,0.00558407205272271,0.00258297700930227,"IL1B/CD74",2
"GO:0001755","GO:0001755","neural crest cell migration","3/72","59/18903",0.00147825511010262,0.0056417616790972,0.00260966201214493,"KITLG/FN1/EFNB1",3
"GO:0010574","GO:0010574","regulation of vascular endothelial growth factor production","3/72","59/18903",0.00147825511010262,0.0056417616790972,0.00260966201214493,"IL1A/IL1B/CCR2",3
"GO:0061098","GO:0061098","positive regulation of protein tyrosine kinase activity","3/72","59/18903",0.00147825511010262,0.0056417616790972,0.00260966201214493,"EGF/EFNA1/EGFR",3
"GO:1903078","GO:1903078","positive regulation of protein localization to plasma membrane","3/72","59/18903",0.00147825511010262,0.0056417616790972,0.00260966201214493,"EGFR/EPHA2/EPHA3",3
"GO:0048593","GO:0048593","camera-type eye morphogenesis","4/72","129/18903",0.00148801769687583,0.00566290990172747,0.00261944436672879,"JAG1/EPHA2/NOTCH1/NOTCH2",4
"GO:0050714","GO:0050714","positive regulation of protein secretion","4/72","129/18903",0.00148801769687583,0.00566290990172747,0.00261944436672879,"TGFB2/IGF1/IL1A/HLA-DRB1",4
"GO:0010975","GO:0010975","regulation of neuron projection development","7/72","446/18903",0.00152703052627518,0.00580314858639706,0.00268431338970992,"SPP1/FN1/CDH1/EFNA1/EFNA5/EFNB2/EPHA3",7
"GO:0090497","GO:0090497","mesenchymal cell migration","3/72","61/18903",0.00162766715536378,0.00617684721052479,0.00285717200353443,"KITLG/FN1/EFNB1",3
"GO:0023035","GO:0023035","CD40 signaling pathway","2/72","16/18903",0.00165855412696417,0.00626746580654207,0.00289908868152818,"CD40LG/CD40",2
"GO:0060841","GO:0060841","venous blood vessel development","2/72","16/18903",0.00165855412696417,0.00626746580654207,0.00289908868152818,"EFNB2/NOTCH1",2
"GO:0072176","GO:0072176","nephric duct development","2/72","16/18903",0.00165855412696417,0.00626746580654207,0.00289908868152818,"WNT11/EFNB2",2
"GO:0001101","GO:0001101","response to acid chemical","4/72","133/18903",0.00166463531294981,0.00628159851567418,0.00290562592933278,"COL1A1/COL1A2/COL6A1/EGFR",4
"GO:0007596","GO:0007596","blood coagulation","5/72","225/18903",0.00167338583362992,0.00630575026914196,0.00291679760178841,"CD40LG/FN1/THBS1/CD36/CD40",5
"GO:0043030","GO:0043030","regulation of macrophage activation","3/72","62/18903",0.00170578594614907,0.00641882705963248,0.00296910257696871,"IL10/THBS1/CD74",3
